"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Day of Week",2022-02-17,2022-02-26,1,33987,33987,FALSE,1,9,0,33987,33987,0,0,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,NA,NA,NA,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-18,2022-02-26,1,24848,24848,FALSE,1,8,0,24858.33,24852,15.4100768206036,5.9304,24848,24848,24848,24848,24849,24850,24852,24855,24859,24865,24877,24890,24902,1.02381474872753,183.936281858892,1783.15912729515,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-19,2022-02-26,1,26324,26324,FALSE,1,7,0,26330.81975,26327,10.6452144217494,4.4478,26324,26324,26324,26324,26325,26326,26327,26329,26331,26335,26343,26351,26361,1.00927035677656,3926.57192104765,4094.27756907231,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-20,2022-02-26,1,28334,28334,FALSE,1,6,0,28351.6855,28345,21.304061948696,11.8608,28334,28334,28335,28337,28339,28342,28345,28349,28355,28362,28375,28391,28408,1.03704356019667,81.716091226766,342.610994391337,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-21,2022-02-26,1,32843,32843,FALSE,1,5,0,32935.32875,32895,121.358277967946,53.3736,32846,32848,32853,32862,32871,32882,32895,32913,32937,32976,33061.1,33155.1,33283.1,1.0672843561377,39.4913035010672,90.8463956472755,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-22,2022-02-26,1,27505,27505,FALSE,1,4,0,27988.18425,27746,737.726826487669,252.042,27524.975,27533,27551,27589,27633,27683,27746,27842,27965,28166.2,28614.5,29223.05,30050.25,1.09387682279647,28.0673767535901,47.4351556459963,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-23,2022-02-26,1,24560,24560,FALSE,1,3,0,27185.3655,25709,4469.51921708787,1269.8469,24637,24682,24755,24935.8,25135.7,25380.6,25709,26173.4,26899,28149.6,30967.4,34197.45,39219.925,1.111017315665,24.066825655356,53.0389147660915,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-24,2022-02-26,1,11855,11855,FALSE,1,2,0,24743.1745,17706,20501.7580922532,6619.809,12209.95,12378.9,12729.5,13571.4,14654.3,16004.6,17706,19933,23583,30613.4,45031.2,60966.4,82089.4,1.06037914696845,43.5226753373029,72.205176385069,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-25,2022-02-26,1,0,0,FALSE,NA,1,NA,20562.36475,9987,29230.734049669,11650.2708,476.925,794.3,1401.9,2744.8,4539.4,6893.6,9987,14100.4,21469.3,31659.6,51172.1,74422.8499999999,100936.425,1.0145719768124,3548.14753038904,2474.23837824571,2022-02-26
"Reference: Fixed, Report: Day of Week",2022-02-26,2022-02-26,1,0,0,FALSE,NA,0,NA,24057.857,12579.5,31547.0373738061,14447.1957,584.975,998.95,1714,3509.8,5892.1,8684.4,12579.5,17903.4,24899.6,37772.6,60917.2,86869.6,110815.025,1.02080108516226,200.317148847208,2356.60577025476,2022-02-26
